Voyage No.,Avg Speed (Voyage)
01 B,11.8
02 B,10.7
03 B,10.7
04 B,11.08
05 B,11.06
06 B,10.57
07 B,10.41
08B,10.68
09B,11.6
10B,11.4
11 B,10.23
12B,11.47
13B,8.3
