Voyage No.,Avg Speed (in Good weather)
01 B,11.9
02 B,11.1
03 B,11.3
04 B,11.01
05 B,11.62
06 B,11.91
07 B,10.97
08B,10.6
09B,11.8
10B,11.4
11 B,10.41
12B,11.49
13B,10.97
