Voyage No.,Avg Speed (in Good weather)
,
01 L,10.3
02 L,9.7
03 L,11.1
04 L,12.1
05 L,10.7
06 L,10.1
07 L,10.3
08L,11.5
09L,10.5
10L,9.63
11L,10.09
12L,9.58
