UTC Date & Time,TOTAL FO Consumption / 24 hrs
2021-08-20,37.76
2021-08-21,36.5
2021-08-22,36.5
2021-08-23,36.5
2021-09-07,36.4
2021-09-08,36.44
2021-09-09,36.5
2021-09-10,36.48
2021-09-10,36
2021-09-29,36.44
2021-09-30,36.5
2021-10-01,36.5
2021-10-02,36.5
2021-10-03,36.5
2021-10-04,36.5
2021-10-05,36.5
2021-10-05,36.4
2021-10-20,35.52
2021-10-21,35.5
2021-10-22,35.5
2021-10-23,35.5
2021-10-24,32.38
2021-10-25,35.5
2021-10-26,35.5
2021-10-27,35.4
2021-11-10,35.32
2021-11-11,35.5
2021-11-12,35.5
2021-11-13,35.5
2021-11-14,30.7
2021-11-15,35.5
2021-11-16,35.5
2021-11-17,35.44
2021-12-07,35.37
2021-12-08,34.6
2021-12-09,34.6
2021-12-10,34.5
2021-12-11,36.11
2021-12-12,34.5
2021-12-13,34.5
2021-12-14,34.5
2021-12-14,34.44
2021-12-31,30.5
2022-01-01,30.5
2022-01-02,30.5
2022-01-03,30.5
2022-01-04,30.5
2022-01-05,30.5
2022-01-06,30.5
2022-01-30,34.57
2022-01-31,36.79
2022-02-01,33.5
2022-02-02,35.2
2022-02-03,36
2022-02-06,36.08
2022-02-07,31.1
2022-02-08,30.1
2022-02-09,30.82
2022-02-22,26.62
2022-02-23,28.5
2022-02-24,28.5
2022-02-25,29.5
"26-Feb-22,",21.28
2022-02-27,35.87
2022-02-28,31.5
2022-03-01,30.1
2022-03-01,30.51
2022-03-20,36.16
2022-03-20,34.94
2022-03-24,30.68
2022-03-24,29.49
2022-05-06,23.52
2022-05-06,23.52
2022-05-07,24.6
2022-05-07,24.53
2022-05-10,27.69
2022-05-11,28.7
2022-05-12,30.2
2022-05-13,30.6
2022-05-14,30.1
2022-05-15,30.1
2022-05-16,30.1
2022-05-17,28.7
2022-05-18,28.4
2022-05-19,28.4
2022-05-20,28.36
2022-05-22,25.2
2022-05-22,24.53
2022-05-23,25.07
2022-05-24,28.61
2022-05-25,28.5
2022-05-26,28.5
2022-05-27,27.36
2022-05-28,27.92
2022-05-28,26.4
2022-06-12,30.4
2022-06-13,26.8
2022-06-14,26.8
2022-06-15,24.59
2022-06-16,30.19
2022-06-17,29.4
2022-06-18,27.8
2022-06-18,31.9
2022-07-07,27.53
2022-07-08,31.7
2022-07-09,32.3
2022-07-10,32.45
2022-07-11,33.11
2022-07-12,36.36
