UTC Date & Time,Slip (%)
2021-08-20,5.41
2021-08-21,9
2021-08-22,5.33
2021-08-23,2.36
2021-09-07,19.38
2021-09-08,18.45
2021-09-09,15.57
2021-09-10,10.22
2021-09-10,12
2021-09-29,12.88
2021-09-30,45.24
2021-10-01,15.63
2021-10-02,5.52
2021-10-03,11.3
2021-10-04,6.64
2021-10-05,10.02
2021-10-05,10.03
2021-10-20,2.13
2021-10-21,4.97
2021-10-22,10.6
2021-10-23,16.78
2021-10-24,14.44
2021-10-25,16.23
2021-10-26,13.67
2021-10-27,13.36
2021-11-10,-1.56
2021-11-11,9.3
2021-11-12,8.2
2021-11-13,7.89
2021-11-14,7.04
2021-11-15,25
2021-11-16,10.67
2021-11-17,16.84
2021-12-07,-15.15
2021-12-08,10.96
2021-12-09,10.6
2021-12-10,13.47
2021-12-11,23.4
2021-12-12,32.89
2021-12-13,17.67
2021-12-14,15.72
2021-12-14,25
2021-12-31,10.2
2022-01-01,10.93
2022-01-02,16.23
2022-01-03,22.26
2022-01-04,30.46
2022-01-05,14.8
2022-01-06,13.86
2022-01-30,18.7
2022-01-31,4.58
2022-02-01,8.52
2022-02-02,11.16
2022-02-03,22.57
2022-02-06,15.33
2022-02-07,9.31
2022-02-08,7.72
2022-02-09,4.63
2022-02-22,-5.88
2022-02-23,3.73
2022-02-24,4.06
2022-02-25,8.06
2022-02-26,13.67
2022-02-27,18.71
2022-02-28,11
2022-03-01,2.56
2022-03-01,6.59
2022-03-20,5.98
2022-03-20,16.88
2022-03-24,18.45
2022-03-24,-6.82
2022-05-06,
2022-05-06,
2022-05-07,
2022-05-07,
2022-05-10,
2022-05-11,
2022-05-12,8.83
2022-05-13,
2022-05-14,14.73
2022-05-15,20.11
2022-05-16,14.38
2022-05-17,8.06
2022-05-18,6.85
2022-05-19,11.4
2022-05-20,14.59
2022-05-22,
2022-05-22,12.21
2022-05-23,
2022-05-24,4.2
2022-05-25,14.59
2022-05-26,14.32
2022-05-27,12.41
2022-05-28,
2022-05-28,20.09
2022-06-12,
2022-06-13,6.82
2022-06-14,
2022-06-15,3.66
2022-06-16,-1.16
2022-06-17,12.73
2022-06-18,
2022-06-18,-2.45
2022-07-07,
2022-07-08,
2022-07-09,
2022-07-10,
2022-07-11,
2022-07-12,
