Voyage No.,Avg Speed (Voyage)
,
01 L,10.3
02 L,9.7
03 L,10.8
04 L,11.9
05 L,10.7
06 L,10.2
07 L,10.3
08L,11.4
09L,10.5
10L,9.6
11L,9.68
12L,9.2
